card_select.avail_basic	此角色可使用基本角色卡來創造
pli_smartcontentmainview.8	移動位置
pli_smartcontentmainview.9	確定要移動至<{0}> 地區嗎?\n累積等級未滿 {1} 或優質服務使用者\n不會受到限制, 可使用.
pli_smartcontentmainview.10	確定要移動至<{0}> 地區嗎?\n移動時 <color=2> <outlinecolor=3>{1} Gold</outlinecolor></color> 會被消耗.\n優質服務使用者\n不會收到限制, 可使用.
pli_smartcontentmainview.11	確定要移動至<{0}> 地區嗎?\n累積等級未滿 {1} 的話\n不會受到限制, 可使用.
pli_smartcontentmainview.12	確定要移動至<{0}> 地區嗎 ? \n移動時 <color = 2> <outlinecolor = 3>{1} Gold</outlinecolor></color> 會被消耗.
pli_smartcontentmainview.13	請輸入查詢內容.
pli_smartgameinfoview.1	<color=4>[塔拉] </color>
pli_smartgameinfoview.2	<color=4>[塔爾汀] </color>
pli_smartgameinfoview.3	<color=4>[現在]</color>
pli_smartgameinfoview.4	<color=4>[下一次]</color>
pli_smartgameinfoview.5	<color=4>[現在]無法確認</color>位置
pli_smartgameinfoview.6	<color=4>[下一次]無法確認</color> 位置
pli_smartgameinfoview.7	要移動至<嚮導公會公會石>位置嗎 ?
pli_smartgameinfoview.8	移動至<嚮導公會公會石> 位置10分鐘內只能使用1次.\n請稍後再嘗試一次.
pli_soulmateview.1	不知
pli_soulmateview.2	{0}日 {1}小時
pli_soulmateview.3	真的要放棄緣分把浪漫點數設定為初始化嗎?
pli_soulmateview.4	心靈伴侶
pli_soulstreamview.1	{0}
pli_soulstreamview.2	獲得
pli_soulstreamview.3	剩餘能力值點數 : {0}
pli_soulstreamview.4	因AP不足無法初始化分配的能力值.\n要初始化的話需要 {0} AP.\n(目前持有 AP : {1})
pli_soulstreamview.5	確定要初始化所有分配的能力值\n拿回能力值點數嗎?\n要初始化的話需要 {0} AP.\n(目前持有 AP : {1})
pli_soulstreamview.6	確定要消費能力值點數 {0}\n提升{1} 1嗎?
pli_soulstreamview.7	確定要使用組合 {0}來進行套用嗎?
pli_soulstreamview.8	表現階段 : {0}
pli_soulstreamview.9	能力值點數 : {0}
pli_soulstreamview.10	所有獎勵獲得完畢!
pli_soulstreamview.11	離下一個獎勵還有 {0} 階段!
pli_specialactiondesc.0	動作情報
pli_specialactionframes.1	音樂知識和演奏技能\n需要在C等級以上.
pli_specialactionframes.2	變更夥伴外型中無法使用動作技能
pli_specialactionview.0	動作
pli_specialactionview.1	全體
pli_specialactionview.2	動作
pli_specialactionview.3	表情動作
pli_specialactionview.4	劇中角色
pli_specialactionview.5	劇中角色
pli_specialtalentdescview.1	精靈無法選擇騎槍才能.
pli_specialtalentdescview.2	巨人無法選擇弓術才能.
pli_specialtalentdescview.3	要由該才能來決定嗎?
pli_specialtalentselectview.1	新角色無法選擇的修練才能. \n  重生之後,才可以選擇. 
pli_specialtalentselectview.2	 G1을 완료하지 않은 캐릭터는 선택할 수 없는 수련 재능입니다.
pli_specialtalentselectview.3	此為首次重生時無法選擇的修練才能.\n下次重生後可選擇.
pli_spiritualessencecollectview.1	要將{0}變換為 {1}嗎?
pli_spiritualessencecollectview.2	變換道具 : {0}
pli_spiritualessenceeventview.1	일
pli_spiritualessenceeventview.2	월
pli_spiritualessenceeventview.3	화
pli_spiritualessenceeventview.4	수
pli_spiritualessenceeventview.5	목
pli_spiritualessenceeventview.6	금
pli_spiritualessenceeventview.7	토
pli_spiritualessenceeventview.8	{0}년 {1}월 {2}일 ({3})
pli_spiritualessenceeventview.9	이벤트 기간에만 영혼의 정수를 흡수할 수 있다.
pli_spiritualessenceeventview.10	지금은 영혼의 정수를 흡수할 수 없다.
pli_spiritualessenceeventview.11	영혼의 정수가 부족하다.
pli_spiritualessenceeventview.12	영혼의 정수를 흡수하여 얻을 수 있는 경험치는 {0} 입니다. 흡수 하시겠습니까?
pli_spritevillageview.1	{0}次
pli_spritevillageview.2	開心果妖精
pli_spritevillageview.3	擁有溫柔的個性可輕易融化每個人內心的妖精.\n使用淘金術, 採礦技能成功的話, 會以一定機率發現此妖精.
pli_spritevillageview.4	貪吃鬼妖精
pli_spritevillageview.5	比任何人都熱衷於美食的妖精.\n使用採集雞蛋, 採集香菇, 擠牛奶, 秋收, 鋤頭技能成功的話, 會以一定機率發現此妖精.
pli_spritevillageview.6	萬人迷妖精
pli_spritevillageview.7	樂於投資時間來裝扮自己的妖精.\n使用剪羊毛技能成功的話, 會以一定機率發現此妖精.
pli_spritevillageview.8	大善人妖精
pli_spritevillageview.9	看到受傷的朋友就會前來幫忙的妖精.\n使用藥草學技能成功的話, 會以一定機率發現此妖精.
pli_spritevillageview.10	萬事通妖精
pli_spritevillageview.11	雖然話少又木訥但是非常善於伐木的妖精.\n使用木工(劈木柴)技能成功的話, 會以一定機率發現此妖精.
pli_spritevillageview.12	{0}倍
pli_spritevillageview.13	說明
pli_stackinggameresultview.1	{0}個
pli_stackinggameview.1	케이크 쌓기
pli_stagedungeonenterview.1	選擇劇本
pli_stagedungeonenterview.2	限制時間 :
pli_stagedungeonenterview.3	取消
pli_stamprallymainview.1	第一次拉力賽正在進行中.
pli_stamprallymainview.2	第二次拉力賽正在進行中.
pli_stamprallymainview.3	第三次拉力賽正在進行中.
pli_stamprallymainview.4	第四次拉力賽正在進行中.
pli_subskilldescview.1	潛力技能說明
pli_subskilldescview.2	潛力技能修練方法
pli_summonfriendview.1	好友召喚請求
pli_summonfriendview.2	請輸入想要請求召喚的好友名字.
pli_summonfriendview.3	取消
pli_summonfriendview.4	召喚請求
pli_summongolemview.1	攻擊
pli_summongolemview.2	跟隨
pli_summongolemview.3	旋風擺蓮腿
pli_summongolemview.4	破碎踏擊
pli_summongolemview.5	重擊
pli_summongolemview.6	防禦
pli_summongolemview.7	休息
pli_summongolemview.8	嘲諷
pli_surveylogoffview.1	感謝參加詢問.
pli_tabletalkpanelballoon.1	主題 : <color=1>{0}</color>\n限制人數 : <color=1>{1}</color>\n\n<color={2}>{3}</color>
pli_talentmainview.1	相關技能
pli_talentmainview.2	相關才能
pli_talentmainview.3	現在正在使用的才能稱號.
pli_talentmainview.4	並無持有該才能稱號.
pli_talentmainview.5	現實時間一天可以換一次.
pli_talentmainview.6	開啟專用效果!
pli_talentmainview.7	製作藥水時額外獲得完成品
pli_talentmainview.8	成功使用衣物製作, 紡織技能時根據機率回收部分材料道具
pli_talentmainview.9	<color=2><outlinecolor=5><被開啟的一代宗師專用效果></outlinecolor></color><color=4><outlinecolor=5>{0}</outlinecolor></color>\n
pli_talentmainview.10	<color=2><outlinecolor=5><才能獎勵效果></outlinecolor></color>
pli_talentmainview.11	目前正套用<color=2><outlinecolor=3>[{0}]</color></outlinecolor>效果.\n
pli_talentmainview.12	真的確定要套用<color=2><outlinecolor=3>[{0}]</color></outlinecolor>效果嗎?\n
pli_talentmainview.13	變更效果會消耗<color=2><outlinecolor=3>{0} AP</color></outlinecolor>.
pli_talentmainview.14	套用效果會消耗<color=2><outlinecolor=3>{0} AP</color></outlinecolor>.
pli_talentmainview.15	近距離武器
pli_talentmainview.16	箭, 弩
pli_talentmainview.17	拳套
pli_talentmainview.18	手把
pli_talentmainview.19	騎槍
pli_talentmainview.20	雙槍
pli_talentmainview.21	手裏劍
pli_talentmainview.22	製作武器, 裝備時獲得製作獎勵
pli_talentmainview.23	製作武器時獲得製作獎勵
pli_talentmainview.24	* 下一才能階段 : {0}
pli_talentmainview.25	下一階段才能獎勵
pli_talentmainview.26	一代宗師 
pli_talentmainview.27	下一階段才能獎勵
pli_talentmainview.28	鎖鏈鐮刃
pli_talentmainview.29	稀原工學,魔法製造技能使用成功時, 依照機率，拿回部分材料道具
pli_taskquestboarddetailview.1	成功率 :
pli_taskquestboarddetailview.2	{0} 專用任務
pli_taskquestboarddetailview.3	共通任務
pli_taskquestboarddetailview.4	(無法重複執行)
pli_taskquestboarddetailview.5	需要時間 :
pli_taskquestboarddetailview.6	{0}天 {1}小時 (現實 {2}分鐘)
pli_taskquestboarddetailview.7	{0}天 (現實 {1}分鐘)
pli_taskquestboarddetailview.8	{0}小時 (現實 {1}分鐘)
pli_taskquestboarddetailview.9	任務指示
pli_taskquestboarddetailview.10	取消任務
pli_taskquestboarddetailview.11	任務完成
pli_taskquestboarddetailview.12	完成
pli_taskquestboarddetailview.13	這是和{0}相關的任務,\n執行的見習騎士的 {1}越高,成功率就會越高.
pli_taskquestboarddetailview.14	請選擇要執行任務的見習騎士.
pli_taskquestboarddetailview.15	{0}正在執行其他任務.
pli_taskquestboarddetailview.16	{0}正在訓練中.
pli_taskquestboarddetailview.17	{0}正在休息中.
pli_taskquestboarddetailview.18	{0}目前處於負傷的狀態.
pli_taskquestboarddetailview.19	{0}正在外出中.
pli_taskquestboarddetailview.20	提醒
pli_taskquestboarddetailview.21	{0}拒絕了任務指示.
pli_taskquestboarddetailview.22	提醒
pli_taskquestboarddetailview.23	要指示執行任務嗎?\n 失敗時只能獲得部分的基本獎勵.
pli_taskquestboarddetailview.24	要指示執行任務嗎?\n 失敗時可以重新執行.
pli_taskquestboarddetailview.25	要取消執行任務嗎?\n取消任務時無法獲得獎勵.
pli_taskquestboarddetailview.26	要完成任務嗎?
pli_taskquestboarddetailview.27	可使用美容專用硬幣立即完成任務.\n
pli_taskquestboarddetailview.28	任務剩餘時間 : {0}天{1}小時(現實 {2}小時{3}分鐘)\n
pli_taskquestboarddetailview.29	任務剩餘時間 : {0}小時(現實 {1}分鐘)\n
pli_taskquestboarddetailview.30	任務剩餘時間 : 0小時(現實未滿 1分鐘)\n
pli_taskquestboarddetailview.31	需要的美容專用硬幣 : {0} 美容專用硬幣\n持有的美容專用硬幣 : {1} 美容專用硬幣\n
pli_taskquestboarddetailview.32	要立刻完成任務嗎?\n(任務成功與否取決於成功率.)
pli_taskquestboarddetailview.33	接近任務結束時間,\n無法立刻完成.
pli_taskquestboarddetailview.34	{0}美容專用硬幣不足,\n無法立刻完成.
pli_taskquestboarddetailview.35	任務剩餘時間 : {0}天 {1}小時(現實 {2}天 {3}小時 {4}分鐘)\n
pli_taskquestboarddetailview.36	壓力太大會對任務成功率造成影響.
pli_taskquestboardinrow.1	這是和{0}相關的任務,\n執行的見習騎士的 {1}越高,成功率就會越高.
pli_taskquestboardinrow.2	偏好任務\n點擊時就會從偏好任務中解除.
pli_taskquestboardinrow.3	特殊任務
pli_taskquestboardinrow.4	一般任務\n點擊時指定為優先任務.
pli_taskquestboardinrow.5	{0} 以上
pli_taskquestboardinrow.6	共通任務
pli_taskquestboardview.1	<見習騎士團培育任務佈告欄>\n\n\t* 這是能指示隸屬烈焰見習騎士團的見習騎士執行任務的佈告欄.\n\n\t*任務執行成功率會依見習騎士目前的能力值而增加,最多不會超過95%.\n\t\t任務執行成功率未滿20%或見習騎士的壓力數值超過80就無法執行任務.\n\n\t* 依照任務執行結果,能獲得提升角色領導力等級的統御經驗值,\n\t\t能訓練見習騎士的訓練點數,角色戰鬥經驗值,金幣等.\n\n\t* 領導力等級上升時,可以在特定等級中獲得追加的角色能力值,\n\t\t以及執行原本無法進行的任務.
pli_taskquestboardview.2	任務指示
pli_taskquestboardview.3	確認任務
pli_taskquestboardview.4	任務佈告欄使用法
pli_tpsmodemanualview.1	操作手冊
pli_tpsmodemanualview.2	設置塔座鋼瓶時可以利用 'TAB'鍵變更攻擊模式.\n\n瞄準時使用滑鼠轉變方向後\n會攻擊畫面的中央敵人.\n\n游標模式時拖滑鼠的方式改變方向\n會攻擊用滑鼠游標瞄準的怪物.\n使用CTRL鍵自動瞄準在 2種模式下都可以使用.
pli_tpsmodemanualview.3	不會再次查看此訊息
pli_tpsmodemanualview.4	關閉
pli_tradeauctionaverageinfoview.1	道具時價情報
pli_tradeauctionaverageinfoview.2	最近平均價 : {0} Gold
pli_tradeauctionaverageinfoview.3	基準 : {0}
pli_tradeauctionaverageinfoview.4	時間 : {0}\n價格 : {1}Gold\n交易 : {2}件
pli_tradeauctionaverageinfoview.5	<color=2>最大 {0} Gold</color>
pli_tradeauctionaverageinfoview.6	<color=2>最小 {0} Gold</color>
pli_tradeauctionaverageinfoview.7	件
pli_tradeauctionaverageinfoview.8	查看目錄
pli_tradeauctionaverageinfoview.9	查看圖表
pli_tradeauctionaverageinfoview.10	(單位 : 日)
pli_tradeauctionaverageinfoview.11	(單位 : 日)
pli_tradeauctionaverageinfoview.12	(單位 : 時)
pli_tradeauctionaverageinfoview.13	(單位 : 月)
pli_tradeauctionbiddingstateview.1	目前尚未有人競標的物品.
pli_tradeauctionbiddingstateview.2	進行競標中.
pli_tradeauctionbiddingstateview.3	我的競標價 : 
pli_tradeauctionbiddingstateview.4	進行競標中.
pli_tradeauctionbiddingstateview.5	進行競標中.
pli_tradeauctionbiddingstateview.6	進行競標中.
pli_tradeauctionbiddingstateview.7	競標結束了.
pli_tradeauctionbiddingstateview.8	競標失敗了.
pli_tradeauctionbiddingstateview.9	  得標價  : 
pli_tradeauctionbiddingstateview.10	販賣結束了.
pli_tradeauctionbiddingstateview.11	放棄競標
pli_tradeauctionbiddingstateview.12	回收
pli_tradeauctionbiddingstateview.13	領取物品
pli_tradeauctionbiddingstateview.14	領取金幣
pli_tradeauctionbiddingstateview.15	要回收競標金嗎?
pli_tradeauctionbiddingstateview.16	要領取購買成功的道具嗎?
pli_tradeauctionbiddingstateview.17	要領取販賣失敗的道具嗎?
pli_tradeauctionbiddingstateview.18	請輸入競標金.\n請確認後再次嘗試.
pli_tradeauctionbiddingstateview.19	需要與最低競標價相同或是以高的金額競標.\n請確認後再次嘗試.
pli_tradeauctionbiddingstateview.20	需要與最低競標價相同或是以高的金額競標.\n請確認後再次嘗試.
pli_tradeauctionbiddingstateview.21	<color=2><outlinecolor=3>與最近平均價有90%以上的價差.</outlinecolor></color>\n確定要競標嗎?
pli_tradeauctionbiddingstateview.22	確定要競標嗎?
pli_tradeauctionbiddingstateview.23	{0} 道具\n{1}個 <color=2><outlinecolor=3>[競標]</outlinecolor></color>而扣了 {2} Gold.\n(若有既存競標金只會扣差額.)\n
pli_tradeauctionbiddingstateview.24	{0} 아이템이\n최근 평균가와 <color=5><outlinecolor=3>90%</outlinecolor></color> 이상 가격 차이가 납니다.\n\n총 입찰가 : <color=5><outlinecolor=3>{1}</outlinecolor></color> Gold\n\n
pli_tradeauctionbiddingstateview.25	위 가격에 정말 입찰을 확정하시겠습니까?
pli_tradeauctionbiddingstateview.26	정말 이 책의 입찰을 확정하시겠습니까?
pli_tradeauctionitemframebase.1	販賣結束
pli_tradeauctionitemframebase.2	販賣結束
pli_tradeauctionitemframebase.3	{0} 小時
pli_tradeauctionitemframebase.4	 {0} 分
pli_tradeauctionitemframebase.5	{0} 分
pli_tradeauctionitemframebase.6	一般交易
pli_tradeauctionitemframebase.7	競標交易
pli_tradeauctionitemframebase.8	每個 : 
pli_tradeauctionitemframebase.9	全體 : 
pli_tradeauctionitemframebase.10	每個價格 : 
pli_tradeauctionitemframebase.11	全體價格 : 
pli_tradeauctionitemframebase.12	競標 : 
pli_tradeauctionitemframebase.13	立即購買 : 
pli_tradeauctionitemframebase.14	競標價格 : 
pli_tradeauctionitemframebase.15	立即購買價格 : 
pli_tradeauctionitemframebase.16	無立即購買價格
pli_tradeauctionitemframebase.17	無立即購買價格
pli_tradeauctionlowpriceframe.1	所選的價格自動輸入為販賣價.
pli_tradeauctionlowpriceframe.2	所選的價格自動輸入為立即購買價.
pli_tradeauctionlowpriceframe.3	個
pli_tradeauctionmainview.1	交易或是與NPC對話中時無法使用.
pli_tradeauctionmainview.2	拍賣場
pli_tradeauctionmainview.3	我的拍賣
pli_tradeauctionmainview.4	拍賣場幫助
pli_tradeauctionmarkettab.1	請輸入道具名稱.
pli_tradeauctionmarkettab.2	搜尋接頭
pli_tradeauctionmarkettab.3	搜尋接尾
pli_tradeauctionmarkettab.4	請輸入要搜尋的道具名稱.
pli_tradeauctionmarkettab.5	請確認道具名稱後搜尋.
pli_tradeauctionmarkettab.6	道具不存在.
pli_tradeauctionmarkettab.7	全體
pli_tradeauctionmarkettabbase.1	가격 정렬 시 일반 거래 우선으로 정렬됩니다. \n검색 옵션을 통해 거래 방식을 선택하여 볼 수 있습니다.
pli_tradeauctionmymarkettab.1	查看全體
pli_tradeauctionmymarkettab.2	交易狀態
pli_tradeauctionmymarkettab.3	我的拍賣欄位滿了.\n請在我的拍賣分頁中將欄位清除後再次嘗試.
pli_tradeauctionoptionsearchframe.1	搜尋選項 {0}
pli_tradeauctionoptionsearchframe.2	沒有
pli_tradeauctionoptionsearchsubframe.1	沒有
pli_tradeauctionoptionsearchsubframe.2	等級 {0}
pli_tradeauctionoptionsearchsubframe.3	難易度 {0}
pli_tradeauctionoptionsearchsubframe.4	沒有
pli_tradeauctionoptionsearchsubframe.5	{0} 強化 {1}階段
pli_tradeauctionoptionsearchsubframe.6	沒有
pli_tradeauctionoptionsearchsubframe.7	升級 {0}階段
pli_tradeauctionoptionsearchsubframe.8	{0}等級
pli_tradeauctionoptionsearchview.1	找不到設計圖.\n請再次確認名稱.
pli_tradeauctionoptionsearchview.2	找不到衣服樣本.\n請再次確認名稱.
pli_tradeauctionoptionsearchview.3	道具不存在.\n請再次確認名稱.
pli_tradeauctionoptionsearchview.4	找不到所輸入的魔力賦予.\n請再次確認魔力賦予名稱.
pli_tradeauctionregisterview.1	登錄手續費 : {0} Gold
pli_tradeauctionregisterview.2	無法登入的道具.
pli_tradeauctionregisterview.3	在個人商城背包中的道具無法登錄.
pli_tradeauctionregisterview.4	含有內容物時無法登錄.
pli_tradeauctionregisterview.5	含有金幣時無法登錄.
pli_tradeauctionregisterview.6	發動狀態的圖騰無法登錄.
pli_tradeauctionregisterview.7	無法登錄的道具.
pli_tradeauctionregisterview.8	可以登錄的道具.
pli_tradeauctionregisterview.9	競標拍賣
pli_tradeauctionregisterview.10	一般交易
pli_tradeauctionregisterview.11	無法登錄的道具.
pli_tradeauctionregisterview.12	請將要販賣的道具放到這並登錄.
pli_tradeauctionregisterview.13	首先要先設定價格.
pli_tradeauctionregisterview.14	首先要先設定競標價.
pli_tradeauctionregisterview.15	立即購買必須要比競標價還高.
pli_tradeauctionregisterview.16	已超過最大金額.\n請修改價格.
pli_tradeauctionregisterview.17	以{0} 道具\n{1}個 <color=2><outlinecolor=3>[{2}]</outlinecolor></color>登錄.\n\n每個販賣價 : {3} Gold\n全體販賣價 : {4} Gold\n販賣時間 : {5} 小時\n登錄手續費 : {6} Gold\n\n真的要販賣物品嗎?
pli_tradeauctionregisterview.18	以{0} 道具\n{1}個 <color=2><outlinecolor=3>[{2}]</outlinecolor></color>登錄.\n\n販賣價 : {3} Gold\n販賣時間 : {4} 小時\n登錄手續費 : {5} Gold\n\n真的要販賣物品嗎?
pli_tradeauctionregisterview.19	已超過最大金額.\n請修正價格.
pli_tradeauctionregisterview.20	以{0}道具 \n{1}個 <color=2><outlinecolor=3>[{2}]</outlinecolor></color>登錄.\n\n開始競標價 : {3} Gold\n立即購買價 : {4}\n拍賣時間 : {5} 小時\n登錄手續費 : {6} Gold\n\n真的要販賣物品嗎?
pli_tradeauctionregisterview.21	沒有
pli_tradeauctionregisterview.22	등록 수수료 무료 이벤트가 진행 중입니다.
pli_tradeauctionregisterview.23	免登錄手續費.
pli_tradeauctionregisterview.24	交易手續費是道具販賣價的5%.
pli_tradeauctionregisterview.25	交易手續費為道具販賣價的4%.
pli_tradeauctionregisterview.26	交易手續費為道具販賣價的 {0}%.
pli_tradeauctionregisterview.27	{0} 道具與\n近期平均價有<color=5><outlinecolor=3>90%</outlinecolor></color>以上的價格差異.\n\n販售價 : <color=5><outlinecolor=3>{1}</outlinecolor></color> Gold\n\n
pli_tradeauctionregisterview.28	<color=5><outlinecolor=3>已經使用且無法再學習的書本.</outlinecolor></color>\n\n
pli_tradeauctionregisterview.29	要以上述價格確定販售嗎?
pli_tradeauctionregisterview.30	真的要販售這本書嗎?
pli_tradeauctionregisterview.31	{0} 道具與\n近期平均價有<color=5><outlinecolor=3>90%</outlinecolor></color>以上的價格差異.\n\n投標開始價 : <color=5><outlinecolor=3>{1}</outlinecolor></color> Gold\n立即購買價 : <color=5><outlinecolor=3>{2}</outlinecolor></color> Gold\n\n
pli_tradeauctionsalestateview.1	回收
pli_tradeauctionsalestateview.2	領取物品
pli_tradeauctionsalestateview.3	領取金幣
pli_tradeauctionsalestateview.4	要領取購買成功的道具嗎?
pli_tradeauctionsalestateview.5	要領取販賣失敗的道具嗎?
pli_tradeauctionstateviewbase.1	道具販賣中.\n真的要取消販賣嗎?
pli_tradeauctionstateviewbase.2	無法預覽的道具.
pli_tradeauctionstateviewbase.3	要領取販賣金幣嗎?
pli_tradeauctionstateviewbase.4	(若有既存競標金只會扣差額.)\n
pli_tradeauctionstateviewbase.5	<color=2><outlinecolor=3>與最近平均價價差90%以上.</outlinecolor></color>\n確定要購買嗎?
pli_tradeauctionstateviewbase.6	確定要購買嗎?
pli_tradeauctionstateviewbase.7	{0} 道具\n{1}個 <color=2><outlinecolor=3>[購買]</outlinecolor></color>而扣了 {2} Gold .\n
pli_tradeauctionstateviewbase.8	<color=2><outlinecolor=3>警告</outlinecolor></color>
pli_tradeauctionstateviewbase.9	{0}道具與\n近期平均價有<color=5><outlinecolor=3>90%</outlinecolor></color>以上的價格差異.\n\n整體購買價格 : <color=5><outlinecolor=3>{1}</outlinecolor></color> Gold\n\n
pli_tradeauctionstateviewbase.10	<color=5><outlinecolor=3>已經有人使用且無法再學習的書本.</outlinecolor></color>\n\n
pli_tradeauctionstateviewbase.11	要以上述價格確定購買嗎?
pli_tradeauctionstateviewbase.12	真的要確定購買這本書嗎?
pli_tradeauctionstateviewbase.13	請選擇要使用的物品.
pli_tradeauctionstateviewbase.14	目前可以使用拍賣場手續費折扣券.\n領取販賣金幣時要使用該折扣券妈？\n<要扣除的販賣手續費為{0}Gold>\n
pli_tradeauctionstateviewbase.15	使用折扣券
pli_tradeauctionstateviewbase.16	不使用
pli_tradeauctionstateviewbase.17	關閉
pli_tradeauctionstateviewbase.18	確定要將販賣失敗的道具重新登錄嗎?
pli_transmuteview.1	{0} 合成
pli_transmuteview.2	{0} 分解
pli_transmuteview.3	該道具無法使用材料合成.
pli_transmuteview.4	該道具無法分解.
pli_transmuteview.5	尚未具備可使用該裝置的技能.
pli_transmuteview.6	鍊成
pli_transmuteview.7	合成
pli_transmuteview.8	合成
pli_transmuteview.9	分解
pli_transmuteview.10	分解
pli_transmuteview.11	請提出待分解的道具
pli_transmuteview.12	合成後的道具
pli_transmuteview.13	萃取物
pli_transmuteview.14	請提出合成材料
pli_transmuteview.15	分解
pli_transmuteview.16	取消
pli_transmuteview.17	請提出待合成的道具.
pli_transmuteview.18	
pli_transmuteview.19	目前技能等級：等級 {0}
pli_transmuteview.20	合成
pli_transmuteview.21	分解
pli_transmuteview.22	可提取%d ~ %d個
pli_transmuteview.23	%d~%d
pli_transmuteview.24	{0}
pli_transmuteview.25	{0}
pli_transmuteview.26	分解{0} 可獲得 {1} .
pli_transmuteview.27	目前技能等級：等級 {0}
pli_transmuteview.28	成功率 : {0}%
pli_transmuteview.29	<color=2>成功率 : 0%</color>
pli_transmuteview.30	分解重複次數 : {0}次
pli_transmuteview.31	<color=2>分解重複次數：0次</color>
pli_transmuteview.32	分解道具: \n  {0} {1} / {2}
pli_transmuteview.33	<color=2>分解道具: \n  {0} {1} / {2}</color>
pli_transmuteview.34	道具數量不足,無法分解.
pli_transmuteview.35	請提出待合成道具.
pli_transmuteview.36	<color=2>無法合成.<color>
pli_transmuteview.37	請提出待分解道具.
pli_transmuteview.38	<color=2>無法分解.<color>
pli_transmuteview.39	<color=2>{0}{} 如要分解,需要提高分解技能等級.<color>
pli_transmuteview.40	
pli_transmuteview.41	
pli_transmuteview.42	
pli_transmuteview.43	
pli_transmuteview.44	尚未具備可使用該裝置的技能.
pli_transmuteview.45	合成產生道具
pli_transmuteview.46	合成材料
pli_transmuteview.47	合成
pli_transmuteview.48	請提出待分解道具.
pli_transmuteview.49	萃取物
pli_transmuteview.50	分解
pli_transmuteview.51	道具
pli_transmuteview.52	投入道具：\n
pli_transmuteview.53	{0} {1}個
pli_transmuteview.54	{0}
pli_transmuteview.55	合成{0} 可獲得 {1}.
pli_transmuteview.56	成功率 : {0}%
pli_transmuteview.57	<color=2>成功率 : 0%</color>
pli_transmuteview.58	\n<color=2>如要製造{0}{},需要提高合成技能等級.</color>
pli_transmuteview.59	\n<color=2>需要三種以上的道具才能合成.</color>
pli_transmuteview.60	{0} 合成
pli_transmuteview.61	{0} 分解
pli_transmuteview.62	該道具無法使用材料合成.
pli_transmuteview.63	該道具無法分解.
pli_transmuteview.64	尚未具備可使用該裝置的技能.
pli_transmuteview.65	鍊成
pli_transmuteview.66	合成
pli_transmuteview.67	合成
pli_transmuteview.68	分解
pli_transmuteview.69	分解
pli_transmuteview.70	請提出待分解道具.
pli_transmuteview.71	合成產生道具
pli_transmuteview.72	萃取物
pli_transmuteview.73	請提出合成材料
pli_transmuteview.74	分解
pli_transmuteview.75	取消
pli_transmuteview.76	請提出待合成道具.
pli_transmuteview.77	
pli_transmuteview.78	目前技能等級：等級 {0}
pli_transmuteview.79	合成
pli_transmuteview.80	分解
pli_transmuteview.81	可提取{0} ~ {1}個
pli_transmuteview.82	{0}~{1}
pli_transmuteview.83	{0}
pli_transmuteview.84	{0},
pli_transmuteview.85	分解{0} 可獲得 {1} .
pli_transmuteview.86	目前技能等級：等級 {0}
pli_transmuteview.87	成功率 : {0}%
pli_transmuteview.88	<color=2>成功率 : 0%</color>
pli_transmuteview.89	分解重複次數 : {0}次
pli_transmuteview.90	<color=2>分解重複次數 : 0次</color>
pli_transmuteview.91	分解道具: \n  {0} {1} / {2}
pli_transmuteview.92	<color=2>分解道具: \n  {0} {1} / {2}</color>
pli_transmuteview.93	道具數量不足,無法分解.
pli_transmuteview.94	請提出待合成道具.
pli_transmuteview.95	<color=2>無法合成.<color>
pli_transmuteview.96	請提出待分解道具.
pli_transmuteview.97	<color=2>無法分解.<color>
pli_transmuteview.98	<color=2>如要分解{0}{},需要提高分解 技能等級.<color>
pli_transmuteview.99	
pli_transmuteview.100	
pli_transmuteview.101	
pli_transmuteview.102	
pli_transmuteview.103	尚未具備可使用該裝置的技能.
pli_transmuteview.104	合成後產生道具
pli_transmuteview.105	合成材料
pli_transmuteview.106	合成
pli_transmuteview.107	請提出待分解道具.
pli_transmuteview.108	萃取物
pli_transmuteview.109	分解
pli_transmuteview.110	道具
pli_transmuteview.111	投入道具 : \n
pli_transmuteview.112	{0} {1}個
pli_transmuteview.113	{0}
pli_transmuteview.114	合成{0} 可獲得 {1}.
pli_transmuteview.115	成功率 : {0}%
pli_transmuteview.116	<color=2>成功率 : 0%</color>
pli_transmuteview.117	\n<color=2>如要製造{0},需要提高合成技能等級.</color>
pli_transmuteview.118	\n<color=2>需要三種以上的道具才能合成.</color>
pli_transmuteview.119	<color=2>道具數量不足無法分解{0}.</color>
pli_transmuteview.120	<color=2>道具數量不足無法分解{0}.</color>
pli_transmuteview.121	這道具無法作為金屬變換的材料來使用.
pli_transmuteview.122	變換
pli_transmuteview.123	金屬變換
pli_transmuteview.124	技能等級 : {0}
pli_transmuteview.125	成功率 : {0}%
pli_transmuteview.126	生成可能數 : {0}個
pli_transmuteview.127	成功率 : {0}%
pli_transmuteview.128	金屬變換
pli_transmuteview.129	<color=2>無法金屬變換<color>
pli_transmuteview.130	請拿出欲使用金屬變換的材料道具
pli_transmuteview.131	金屬變換材料
pli_transmuteview.132	變換
pli_transmuteview.133	自動生產
pli_transmuteview.134	{0} 個
pli_transmuteview.135	이 아이템은 합성의 재료로 1개면 충분합니다
pli_treasureboxevent.1	沒有寶箱鑰匙.
pli_treasureboxevent.2	開啟
