animaltraininguse.1	訓練杖已無法使用.
partyhealinguse.1	因{0}的隊伍治療效果增加了 {1} 的防禦.
partyhealinguse.2	隊伍治療效果消失.
partyhealinguse.3	再一次使用隊伍治療, 就會有冷卻時間.
partyhealinguse.4	{0}用組隊治療效果來增加防禦 {1} 魔法防禦 {2}
partyhealinguse.5	1人組隊在戰鬥中無法使用.
pegasuspetholyrushuse.1	目前無法使用技能. {0}秒之後再次使用.
perfumemakinguse.1	Production Form\n生產技能品
perfumemakinguse.2	{0}專用生產品.
perfumemakinguse.3	{0}專用生產品.
perfumemakinguse.4	要製作出這樣的生產品魔法是不夠的
perfumemakinguse.5	{0}製作成功.
petchinesezombietornado.1	殭屍找不到主人的位置只能在原地進行攻擊.
petdetectionuse.1	探測被中斷了.
petdetectionuse.2	無法探測的地區
petdetectionuse.3	無法使用探測的狀態
petdetectionuse.4	魔力不足而無法開始探測
petdetectionuse.5	開始進行探測.
petdetectionuse.6	結束探測.
petenjoyparkbususe.1	已經是愉快心情的狀態.
petenjoyparkbususe.2	{0}分{1}秒後,會成為能夠\n再次獲得愉快的Japari公園效果的狀態.
petenjoyparkbususe.3	{0}秒後,會成為能夠\n再次獲得愉快的Japari公園效果的狀態.
petexcitedalocombo.1	跟上我的節拍!
petexcitedalocombo.2	因為你的關係導致我的興致都沒了, 給我負責喔!
petexcitedalocombo.3	你不能再配合得精準一點嗎?
petforgetmenot.1	想起與布蘿妮的回憶.\n防禦 {1} 增加.\n保護 {2} 增加.\n魔力恢復速度 {3}% 增加.\n耐力恢復速度 {4}% 增加.
pethideuse.1	主人騎乘後才能使用.
pethideuse.2	已經隱身中.
petmakebubbleuse.1	주인이 데브캣 타이틀을 달고 있으면 100% 성공
petmakebubbleuse.2	被泡沫困住失敗了.
petsealuse.1	使用此勳章後無法轉讓寵物.
petsealuse.2	請召喚寵物後選擇.
petsealuse.3	請選擇要轉讓的寵物.
petsealuse.4	只能轉讓自己召喚的寵物.
petsealuse.5	此寵物無法轉讓.
petsealuse.6	寵物不是召喚的狀態.
petsealuse.7	此寵物無法轉讓.
petsealuse.8	寵物的背包清空後才能轉讓.
petsealuse.9	超出寵物可轉讓的次數上限而無法再轉讓.
petsealuse.10	{0} 寵物轉讓了
petsealuse.11	轉讓寵物失敗.\n請稍候再進行.
petsealuse.12	無法轉讓此寵物.
petsealuse.13	所選擇的寵物為菲尼寵物.\n確定要對菲尼寵物使用轉讓勳章嗎?
petwarpmasteruse.1	早上 6點才能再次使用.
petwarpmasteruse.2	魔力不足無法使用技能.
petwarpmasteruse.3	耐力不足無法使用技能.
petwarpmoveuse.1	目前無法使用技能. {0}秒之後請再試試看
petwarpmoveuse.2	沒有可移動的地區或無可以移動的地方.
petwarpmoveuse.3	移動失敗.
petwarpregisteruse.1	目前無法使用技能. {0}秒之後請再試試看
petwarpregisteruse.2	你會記得這個地方嗎?
petwarpregisteruse.3	該地區已儲存.
petwisperoftuan.1	對主人與組隊成員使用{0}.
pfhousinginstallfurnitureuse.1	此為無法設置的家具.
pfhousinginstallfurnitureuse.2	離開了可設置的區域.
pfhousinginstallfurnitureuse.3	此地方無法設置.
pfhousinginstallfurnitureuse.4	超過了設置物的限制.
pfhousingredesignfurnitureuse.1	此為無法設置的家具.
pfhousingredesignfurnitureuse.2	離開了可設置的區域.
pfhousingredesignfurnitureuse.3	此地方無法設置.
pfhousingredesignfurnitureuse.4	設施物設置個數超過限制.
phantomfearuse.1	因遊魂怒吼寵物, 夥伴被解除召喚.
phantomfearuse.2	因遊魂怒吼寵物, 夥伴被解除召喚.
phoenixpetflameofresurrectionuse.1	鳳凰被取消召喚.
phoenixpetflameofresurrectionuse.2	目前無法使用技能. {0}秒之後再試試看
phoenixpetflameofresurrectionuse.3	復活花火技能已套用上.
phoenixpetflameofresurrectionuse.4	技能使用失敗.
pillageuse.1	無法使用.
piperofhamelinuse.1	裝備樂器才能演奏.
piperofhamelinuse.2	裝備樂器才能演奏.
piperofhamelinuse.3	沒有可以使用的樂器.
piperofhamelinuse.4	以目前的等級是無法使用此樂器演奏.
piperofhamelinuse.5	耐力不足而眩惑的演奏技能被取消了.
piperofhamelinuse.6	眩惑的演奏技能可使用時間剩下 10秒
playinginstrument.2	\n生命+{0}恢復
playinginstrument.3	\n耐力 +{0}恢復
playinginstrument.4	\n魔法值 +{0}恢復
playinginstrumentuse.1	無法使用已過期的樂器進行演奏.
playinginstrumentuse.2	保護鏡子的某種力量好像消失了.
playinginstrumentuse.3	公演中無法使用.
playinginstrumentuse.4	因魔力和耐力不足, 演奏被中斷.
playinginstrumentuse.5	因魔力不足, 演奏被中斷.
playinginstrumentuse.6	因耐力不足, 演奏被中斷.
playinginstrumentuse.7	演奏的效果消失.
playinginstrumentuse.8	技能等級不足而無法呈現樂譜的效果.
playinginstrumentuse.9	用一般樂器, 無法呈現樂譜的效果.
playinginstrumentuse.10	多虧演奏農作物好像有好好成長.
playinginstrumentuse.11	農作物好像不太喜歡我的演奏.
playinginstrumentuse.12	不是正常的樂譜.
playinginstrumentuse.13	無法再使用的樂譜.
playinginstrumentuse.14	不是演奏兼職進行中.
playinginstrumentuse.15	無法演奏的地區.
playinginstrumentuse.16	已經有在演奏的人.\n請在演奏結束後進行.
playinginstrumentuse.17	{0} 後可以使用.
playinginstrumentuse.18	蛋裡的鳳凰好像很開心.
playinginstrumentuse.19	對鳳凰蛋沒有效果了.
playinginstrumentuse.20	樂譜沒有樂器的部份
playinginstrumentuse.21	樂譜中似乎沒有樂器部分的樣子.
playwithpetuse.1	必須有1個以上的寵物遊戲組合.
playwithpetuse.2	無法和菲尼寵物使用.
potionmakinguse.1	已過期.
potionmakinguse.2	{0} 專用生產品.
poundinguse.1	目前無法使用技能. {0}秒之後再試試看.
poundinguse.2	必須要先鎖定對象.
poundinguse.3	已經被猛烈突擊打到昏倒的對象,就無法對該對象使用猛烈突擊.
poundinguse.4	對手似乎沒有昏倒的樣子.
poundinguse.5	請靠近使用
poundinguse.6	必須要先鎖定對象.
poundinguse.7	目前無法使用的樣子.
powershotuse.1	無法使用已過期的武器.
publicperformanceuse.1	設置募款箱.
publicperformanceuse.2	開始樂器演奏的話,就會設置募款箱.
publicperformanceuse.3	演奏中不能取消.
puppetmastersmashuse.1	似乎暫時無法使用此技能進行攻擊!
rageimpactuse.1	耐力不足.
rageimpactuse.2	因為武器的耐久度為 0, 無法使用憤怒衝擊.
rageimpactuse.3	想要使用憤怒衝擊的話, 需要近距離戰鬥才能武器.
ragingthrustuse.1	沒有攻擊對象.
ragingthrustuse.2	沒有攻擊對象.
rangedattackuse.1	無法使用已過期的武器.
rangeegosubstantiationuse.1	這把弓無法再繼續使用了.
raremineralogy.1	附近沒有稀原礦石.
raremineralogy.2	距離太遠無法採集.
raremineralogyuse.1	需要修理裝備的樣子.
raremineralogyuse.2	為了使用珍奇礦物學右手要拿著錐子才可以.
raremineralogyuse.3	附近沒看到可以採集的礦物.
raremineralogyuse.4	附近沒看到可以採集的礦物.
raremineralogyuse.5	沒有礦石.
raremineralogyuse.6	沒有剩餘下來的礦石.
raremineralogyuse.7	礦石採集失敗.
readytofly.1	現在感覺無法飛行
recoveryuse.1	目前無法使用技能. {0}秒之後再試試看.
refineuse.1	無法使用熔爐.\n請詢問附近NPC關於熔爐的使用方法.
refineuse.2	{0} 專用生產品.
relaxationuse.1	2人用釣魚椅子附近無法使用技能.
relaxationuse.2	跟別的頒獎台太近
relaxationuse.3	這裡是無法安裝頒獎台的地方
relaxationuse.4	剪刀石頭布廣告中無法使用技能.
relaxationuse.5	가위바위보 대결 중에는 스킬을 사용 할 수 없습니다.
relaxationuse.6	無法坐在椅子的狀態.
relaxationuse.7	沒有適合的道具.
relaxationuse.8	與其他設置物品距離太近.
relaxationuse.9	因取消休息, 冥想時間已被初始化.
relicinvestigationuse.1	이 아이템은 직접 복원할 수 없을것 같다. 보이트에게 가져가 보자.
rolemotionbase.1	出現 {0} 效果\n變為 {1}.
rolemotionbase.2	{0} 效果消失.
rolemotionbaseuse.1	目前不是可以使用劇中角色技能的狀態.
rolemotionbaseuse.2	在使用其他劇中角色的技能中.
rolemotionbaseuse.3	目前無法使用技能.請過{0}秒後再試.
runawayuse.1	沒有效果似的...
rush.1	在過於接近的距離下無法使用突擊技能.
rushuse.1	要拿著盾才可使用突擊技能.
rushuse.2	用損壞的盾無法使用突擊技能.
rushuse.3	使用期限已到.
rushuse.4	使用遠距離攻擊武器的狀態下無法使用突擊技能.
rushuse.5	要拿著盾.
rushuse.6	체인 블레이드를 든 상태로는 돌진을 사용할 수 없습니다
sandstormuse.1	需要有鋼瓶.
sandstormuse.2	土的結晶不足,無法使用技能.
sandstormuse.3	土的結晶不足,無法使用技能.
sandstormuse.4	使{0}的眼睛失明失敗.
sandstormuse.5	使{0}的眼睛失明失敗.
sandstormuse.6	使{0}的眼睛失明成功.
sandstormuse.7	鋼瓶不能用於沙暴的使用.
sandstormuse.8	現在好像無法讓他失明.
scarer.1	穿著萬聖節服裝才能使用.
scentofdeath.1	因得到花瓣的保護,熬過了芙露亞的攻擊!
screwupperuse.1	目前無法使用技能. {0}秒之後再試試看.
screwupperuse.2	請靠近使用
screwupperuse.3	必須要先鎖定對象.
seesawjumpuse.1	[develop, GM 專用] 反應時間: {0} ms   高度: {1} m
seesawjumpuse.2	跳跳板設置為無法使用的位子.
seesawjumpuse.3	現在不是中秋節跳跳板活動期間.
seesawjumpuse.4	沒有可以使用的跳跳板.
seesawjumpuse.5	一個人無法玩跳跳板
seesawjumpuse.6	現在高度 %4.2fm
shadowbindinguse.1	周圍誰都不在
shadowstealthuse.1	因耐力不足無法使用技能.
shadowstealthuse.2	現在 {0}{} 無法使用.
shockwaveuse.1	魔法不足.
shockwaveuse.2	耐久度為0所以無法使用.
shockwaveuse.3	需要集魔杖或魔杖.
shootingrushuse.1	沒有攻擊對象.
shootingrushuse.2	沒有攻擊對象.
shovelinguse.1	必須要裝備改變地形的道具.
shovelinguse.2	看來在此地無法改變地形.
shovelinguse.3	看來在此地無法改變地形.
shovelinguse.4	物品的耐久度是為0, 所以無法使用物品.
shurikencharginguse.1	對象離你太遠
shurikencharginguse.2	對象不存在
shurikencharginguse.3	無法攻擊的對象
smashuse.1	체인 블레이드를 든 상태로는 스매시를 사용할 수 없습니다
snowstormuse.1	現在不能使用技能.請在{0}秒後再試一次.
snowstormuse.2	因冰雪的結晶不夠而無法使用技能.
snowstormuse.3	沒有可以使用的冰雪的結晶.
snowstormuse.4	無法對選擇的對象使用.
snowstormuse.5	無法對選擇的對象使用.
snowstormuse.6	沒有可以使用的冰雪的結晶.
snowstormuse.7	沒有可以使用的冰雪的結晶.
snowstormuse.8	無法攻擊.
solidarityofpower.1	{0}/{1}傷害累積後攻擊
solidarityofpoweruse.1	隊員的特性 [力量團聚]使用中.\n隊員的特性使用結束後才可以進行使用.
solidarityofpoweruse.2	[邊境石]不足無法使用特性.
somersaultkickuse.1	目前無法使用技能. {0}秒之後再試試看.
somersaultkickuse.2	必須要先鎖定對象.
specteruse.1	被召喚的寵物為了躲避鬼魂躲了起來.
spidershotuse.1	需要遠距離武器.
spidershotuse.2	需要遠距離武器.
spidershotuse.3	耐久度為0所以無法使用.
spidershotuse.4	需要蜘蛛網陷阱.
spidershotuse.5	需要蜘蛛網陷阱.
spidershotuse.6	技能無法使用.
splintershotuse.1	這把弓無法再繼續使用了.
splintershotuse.2	無法使用已過期的武器.
splintershotuse.3	目前無法使用技能.請過{0}秒後再試.
sprinklewater.1	不能對敵對關係的對象使用.
sprinklewater.2	不能對無法行動的對象使用.
sprinklewater.3	不能對裝死的對象使用.
sprinklewater.4	不能對睡著的對象使用.
sprinklewater.5	找不到目標.
sprinklewateruse.1	不能對移動中的對象使用.
stageticketmakinguse.1	需要魔法手紡車.
stageticketmakinguse.2	距離魔法手紡車太遠.
stageticketmakinguse.3	Form\n生產技能形式
stageticketmakinguse.4	需要魔法手紡車.
stageticketmakinguse.5	距離魔法手紡車太遠.
stageticketmakinguse.6	Form\n生產技能形式
stageticketmakinguse.7	製作{0}成功
stageticketmakinguse.8	製作失敗
stageticketmakinguse.9	{0} 專用生產品.
stampedeuse.1	武器的耐久度為 0因此似乎無法使用蜂擁.
stampedeuse.2	若想要使用蜂擁,需要近距離戰鬥才能武器.
stopthereuse.1	只有套用聖誕槌之後才能使用該技能.
stopthereuse.2	無法向已經為石化狀態的對象使用.
sulienecology.1	附近沒有希里原結晶.
sulienecology.2	距離太遠無法採集.
sulienecologyuse.1	需要修理裝備的樣子.
sulienecologyuse.2	為了使用希里原生態學右手要拿著被雷劈的酢木枴杖才可以.
sulienecologyuse.3	附近沒有可採集的植物標本.
sulienecologyuse.4	沒有礦石.
sulienecologyuse.5	沒有剩餘下來的礦石.
sulienecologyuse.6	植物標本採集失敗.
summongolemuse.1	超出我可以召喚的境界.
summonhydrause.1	跟鋼瓶和盾牌鋼瓶一起套用才可
supportpuppetattack.1	獲得結衣的支援攻擊.
supportpuppetattack.2	支援飛行娃娃技能
supportpuppetattack.3	獲得.
supportpuppetattackuse.1	現在無法使用技能. {0}秒後再進行.
supportshotuse.1	無法使用已過期的武器.
synthesisuse.1	如要進行合成附近必須有乾式火盆.
synthesisuse.2	雙手閒置,可以進行合成
synthesisuse.3	不是有效道具.
synthesisuse.4	依照配方合成成功並獲得 {0}.
synthesisuse.5	合成成功並獲得{0}.
synthesisuse.6	合成失敗.
synthesisuse.7	無法在此火盆進行合成.
synthesisuse.8	정상적으로 합성을 할 수 없는 아이템입니다.
tailoringuse.1	已過期.
tailoringuse.2	在臨時物品欄的道具無法進行生産.
tailoringuse.3	{0} 專用道具.
tauntuse.1	沒有人受到嘲諷技能的影響.
thunderlionlightningstrikeuse.1	距離對方太近或太遠時\n或者在中間有障礙物時,無法使用技能.
thunderlionlightningstrikeuse.2	必須要指定對象才可使用技能.
thunderuse.2	充分使用雷矢後\n必須讓武器上累積雷矢屬性才行.
thunderuse.3	集魔杖的耐久度變為 0而無法使用雷擊.
thunderuse.4	需要魔杖或雷矢魔杖.
urgentshotuse.1	現在無法使用技能.
useitemaddseasoning.1	請選擇需要加入調味料的食物.
useitemaddseasoninguse.1	原本調味料的效果消失.\n要繼續嗎?
useitemaddseasoninguse.2	食物中添加調味料.
useitemaddseasoninguse.3	這食物好像什麼效果都沒有.
useitemantimacrouse.1	無法使用.
useitemantimacrouse.2	對{0}使用測驗炸彈.
useitemantimacrouse.3	正在測驗外掛中.
useitemantimacrouse.4	只對戰鬥或採集中的角色可以使用.
useitemantimacrouse.5	{0} 分後可以再次使用.
useitemantimacrouse.6	{0} 分後可以再次使用.
useitemantimacrouse.7	一天只可使用二十次.
useitemantimacrouse.8	一個角色一天只可使用一次.
useitemantimacrouse.9	此為無法使用的地區.
useitemantimacrouse.10	這是最近通過測驗的角色.
useitembarrieruse.1	防護壁太薄.
useitembarrieruse.2	要設置防護壁位置有移動物體
useitembigblessinguse.1	裝備神聖的道具會有祝福效果. 要使用大型祝福藥水嗎?
useitemblessinguse.1	聖火效果消失.\n要繼續嗎?
useitembombuse.1	公演中無法使用.
useitembombuse.2	無法在此地區使用此物品.
useitembondingcharacteruse.1	지금은 사용할 수 없습니다. 잠시 후에 다시 시도 하세요.
useitembondingcharacteruse.2	이미 경험치 링크된 캐릭터가 있는 대상입니다.
useitembondingcharacteruse.3	현재 다른 대상과의 링크를 준비중입니다.
useitembondingcharacteruse.4	300레벨 미만의 초보자만 선택이 가능합니다.
useitembondingcharacteruse.5	경험치 링크 대상을 선택해 주세요
useitembondingcharacteruse.6	지금은 사용할 수 없습니다. {0}초 후에 다시 시도 하세요
useitembondingcharacteruse.7	경험치 링크를 진행중인 캐릭터 입니다
useitembondingcharacteruse.8	경험치 링크가 취소 되었습니다
useitemcampfirekituse.1	橋上不能放置營火.
useitemcampfirekituse.2	스키 이벤트 중에는 캠프 파이어를 설치할 수 없습니다.
useitemcampfirekituse.3	無法使用的區域.
useitemcampfirekituse.4	身體變溫暖的感覺.\n營火周圍 {0}充滿溫暖而且有濃厚的香味.\n附近採取充分的休息.
useitemcampfirekituse.5	無法在此區域設置該道具.
useitemcampfirekituse.6	길드전 지역에서는 설치할 수 없습니다.
useitemchattingcolorchange.1	聊天的文字顏色變更了.
useitemcherrytreekituse.1	無可使用的櫻花煙火工具.
useitemdragonsupportuse.1	目前巨龍召喚中.
useitemdragonsupportuse.2	目前巨龍召喚中.
useitemdragonsupportuse.3	目前巨龍召喚中.
useitemdragonsupportuse.4	黃金巨龍
useitemdragonsupportuse.5	只有巨龍騎士才能看到 亞多利爾的號角.
useitemdragonsupportuse.6	今日無法再使用.
useitemdragonsupportuse.7	只有巨龍騎士才能看到 亞多利爾的號角.
useitemdragonsupportuse.8	今日無法再使用.
useitemdragonsupportuse.9	此地似乎無法召喚巨龍.
useitemdragonsupportuse.10	只有巨龍騎士才能看到 亞多利爾的號角.
useitemdragonsupportuse.11	今日無法再使用.
useitemdragonsupportuse.12	此地似乎無法召喚巨龍.
useitemdragonsupportuse.13	目前似乎無法召喚 巨龍.
useitemdragonsupportuse.14	似乎無法召喚巨龍.
useitemdragonsupportuse.15	因為有牆壁無法召喚亞多利爾.
useitemdragonsupportuse.16	亞多利爾對這號角無反應.
useitemdragonsupportuse.17	{0} {1} {2}
useitemdragonsupportuse.18	無法使用的區域.
useitemdragonsupportuse.19	在這裡無法使用亞多利爾的號角.
useitemdungeonpassuse.1	只有在地下城祭壇才可使用.
useitemdungeonpassuse.2	超過有效期限的物品無法使用
useitemdungeonpassuse.3	此地下城不能以無限制地下城通行證到達.
useitemdungeonpassuse.4	寵物無法使用.
useitemdungeonpassuse.5	於使用其他技能狀態之下無法使用.
useitemdungeonpassuse.6	於其他狀態之下無法使用.
useitemdungeonpassuse.7	無法於戰鬥狀態之下進行使用.
useitemdungeonpassuse.8	無法使用無限制地下城通行證.
useitemdungeonpassuse.9	不是無限制地下城通行證.
useitemdungeonpassuse.10	並無持有無限制地下城通行證.
useitemdungeonpassuse.11	找不到地下城.
useitemdungeonpassuse.12	並不是該地下城的大廳.
useitemdungeonpassuse.13	並不是該地下城的地下城成員.
useitemdungeonpassuse.14	正打算去的地下城大廳和現在地下城的大廳不一樣.
useitemdungeonpassuse.15	要進入的地下城群組跟目前的群組不同.
useitemelathaitemuse.1	生魂好像感覺很痛苦.
useitemelathaitemuse.2	好像毫無效果.
useitemenchantuse.1	雖然在魔力賦予失敗了但因為有魔力賦予保護藥水的效果而不會減少耐久度.
useitemenchantuse.2	在6等級以上的魔力賦予失敗時,對象道具消失\n蘊藏在武器上的精靈也一起消失.\n要進行魔力賦予嗎?
useitemfeedfishuse.1	周圍沒有海狗.
useitemfeedfishuse.2	要丟到附近.
useitemfeedfishuse.3	{1}吃了{0}丟出去的魚.
useitemfossilrestorationuse.1	化石復原完整.
useitemfossilrestorationuse.2	化石復原得很好.
useitemfossilrestorationuse.3	復原得勉強可以使用.
useitemfossilrestorationuse.4	好不容易看出形態.
useitemfossilrestorationuse.5	化石復原失敗.
useitemfossilrestorationuse.6	水晶被打磨的很完美.
useitemfossilrestorationuse.7	水晶被打磨的很優秀.
useitemfossilrestorationuse.8	水晶被打磨的尚且能用.
useitemfossilrestorationuse.9	打磨水晶失敗.
useitemguildpendantuse.1	使用公會創立許可證可以設置公會表示公會石.\n但, 設置公會石之後若公會服務到期的話公會石會被刪除.\n公會石不可以設置在室內或村落, 以及路上還有因為公會石是一設置就無法移動所以要慎重地決定哦.
useitemguildpendantuse.2	現在無法設置公會石.
useitemholyfire.1	請選擇要使用聖火來祝福的道具
useitemholyfireuse.1	祝福藥水的效果消失.\n要繼續嗎?
useitemholyfireuse.2	使用聖火\n
useitemiceminekituse.1	缺少可使用的冰地雷
useitemiceminekituse.2	處於無法設置冰地雷的區域
useitemiceminekituse.3	處於無法設置冰地雷的區域
useitemiceminekituse.4	冰地雷周邊似乎無法設置新的冰地雷
useiteminstallfacilityuse.1	無法設置.
useiteminstallfacilityuse.2	材料不足.
useiteminstallfacilityuse.3	超出農場領域.
useiteminstallfacilityuse.4	有其他施設物設置在此.
useiteminstallfacilityuse.5	設置位置上有角色.
useiteminstallfacilityuse.6	無法設置.
useiteminstallfacilityuse.7	材料不足.
useiteminstallfacilityuse.8	材料不足.
useiteminstallfacilityuse.9	沒有成功設置.
useiteminstallfacilityuse.10	 밀린 유지비를 지불해 주세요
useiteminstallfacilityuse.11	在走廊放置家具時無法進行擴大工程.\n首先請先整理走廊.
useitemlroduse.1	需要裝備探測器.
useitemlroduse.2	這個探測器無法使用.
useitemmanaforminguse.1	需要鋼瓶
useitemmanaforminguse.2	缺少可使用的 魔力凝聚結晶.
useitemmanaforminguse.3	需要魔力凝聚技能.
useitemmixpaintuse.1	想要{0}需要染料混合大鍋.
useitemmixpaintuse.2	想要{0}附近需要有染料混合大鍋.
useitemmixpaintuse.3	選擇的染料不存在.
useitemmixpaintuse.4	沒有擁有選擇的染料.
useitemmixpaintuse.5	不是正常的染料.
useitemmixpaintuse.6	沒有選擇的設施或是不是染料混合大鍋.
useitemmixpaintuse.7	需要染料混合大鍋.
useitemmixpaintuse.8	選擇的染料不存在.
useitemmixpaintuse.9	沒有擁有選擇的染料.
useitemmixpaintuse.10	不是正常的染料.
useitemmixpaintuse.11	染料混合正常產出想要的顏色
useitemmixpaintuse.12	染料的比例有誤而產出異想的顏色
useitemmorrighansfeatheruse.1	諾亞達的諸劍分散在法利亞斯時請使用茉麗安的羽毛
useitemnamecolorchange.1	名稱及聊天的顏色變更了
useitempaintfacilityuse.1	沒有擁有選擇的染料.
useitempaintfacilityuse.2	不是正常的染料.
useitempaintfacilityuse.3	是無法刷油漆的部位.
useitempaintfacilityuse.4	是無法移除刷漆的部位.
useitempaintfacilityuse.5	沒以選擇的設施物.
useitempaintfacilityuse.6	不是正常的設施物.
useitempaintfacilityuse.7	不是正常的染料.
useitempaintfacilityuse.8	{0}的部位 {1}上使用 {2}刷漆.
useitempaintfacilityuse.9	{0}的部分移除了 {1}的油漆.
useitempuppetresurrection.1	人偶已是完美的狀態不需修理.
useitempuppetresurrection.2	無法用這個工具來修理人偶. 請使用專用藥水或完整修理工具.
useitempuppetresurrection.3	無法用這個工具來修理人偶. 請使用專用藥水或更好的修理工具.
useitempuppetresurrectionuse.1	召喚人偶後再使用
useitempuppetresurrectionuse.2	成功使用道具修理了人偶. 跟新的一樣乾淨.
useitempuppetresurrectionuse.3	成功使用道具修理了人偶. 臨時修理的部分也修復的不錯.
useitempuppetresurrectionuse.4	成功使用道具修理了人偶. 所有部分可以順利的動作了.
useitemrecalluse.1	沒有可使用的物品.
useitemrecalluse.2	對戰中無法召喚巨魔像.
useitemrecalluse.3	只有裝備鋼瓶的條件下才能召喚 巨魔像.
useitemrecalluse.4	已經有召喚的怪物.
useitemrecalluse.5	召喚時必須有結晶體.
useitemredesignfacilityuse.1	無法重新配置.
useitemredesignfacilityuse.2	超出農場領域.
useitemredesignfacilityuse.3	有其他施設物設置在此.
useitemredesignfacilityuse.4	移動位置上有角色.
useitemredesignfacilityuse.5	無法設置.
useitemredesignfacilityuse.6	沒有成功重新配置.
useitemredesignfacilityuse.7	 밀린 유지비를 지불해 주세요
useitemrepairpropuse.1	此為無法使用的地區
useitemrepairpropuse.2	無法使用超過有效期限的物品.
useitemrepairpropuse.3	此為無法使用的位置
useitemrepairpropuse.4	附近有其他物體無法設置.
useitemrepairpropuse.5	無法設置在腳上.
useitemrepairpropuse.6	設置位置上有移動物體
useitemrepairpropuse.7	附近有其他物體因此無法設置.
useitemresurrectionuse.1	該角色在無法復活的地區.
useitemscanuse.1	已經存在強力的果實效果,只會浪費果實.
useitemscanuse.2	無法使用阿蘭特的果實的地區
useitemscanuse.3	套用支援結衣時無法使用阿蘭特的果實.
useitemscanuse.4	裝備支援飛行娃娃的狀態下無法使用阿蘭特果實.
useitemsealitem.1	請選擇要封印的道具
useitemsealitemuse.1	封印道具成功.
useitemseesawuse.1	現在不是中秋節跳跳板活動期間.
useitemseesawuse.2	無法使用跳跳板組裝工具.
useitemseesawuse.3	無法使用已經超過有效期間的跳跳板組裝工具.
useitemseesawuse.4	無法組裝跳跳板的地方.
useitemseesawuse.5	空間太小無法玩跳跳板.
useitemseesawuse.6	無法組裝跳跳板的地方.
useitemseesawuse.7	在附近已經有設置跳跳板.
useitemseesawuse.8	在附近有障礙物無法組裝跳跳板.
useitemsketchuse.1	夜間探險經驗值 +{0} exp
useitemsketchuse.2	夜間探險經驗值 +{0} exp
useitemsketchuse.3	沒有圖畫紙.
useitemsketchuse.4	不能繼續進行素描了.
useitemsketchuse.5	由於距離太遠, 所以無法素描.
useitemsketchuse.6	由於距離太遠, 所以無法素描.
useitemsoulstoneuse.1	針對已占領的怪物才可以使用.
useitemsoulstoneuse.2	不能對別的玩家占領的怪物上使用.
useitemsoulstoneuse.3	有馴服的怪物時無法使用.
useitemsoulstoneuse.4	為無法使用的對象.
useitemsupport.1	請選擇要使用輔助藥水的道具.
useitemsupportuse.1	道具有輔助作用了.
useitemsupportuse.2	無法使用在無法修理的道具上.
useitemsupportuse.3	無法使用在無法進行魔力賦予的道具上.
useitemsupportuse.4	該道具無法在使用.
useitemsupportuse.5	用美容專用硬幣所購買到的道具是無法用的.
useitemtownbackuse.1	這個物品只能在指定的地區內才能使用.
useitemtownbackuse.2	在船上不能使用鑰匙.
useitemtownbackuse.3	不能進入沒有被發現的遺跡.
useitemtownbackuse.4	在飛行中不能使用.
useitemtownbackuse.5	只能在住宅區使用. 若在室內時請到室外使用.
useitemtownbackuse.6	在影子世界無法使用.
useitemtownbackuse.7	目前無法使用.
useitemtownbackuse.8	無法在農場使用.
useitemtownbackuse.9	運送模式時無法傳送.
useitemtownbackuse.10	隊員中有運送中的角色.
useitemtownbackuse.11	這是在美容室所無法使用的道具.
useitemtownbackuse.12	目前其他的傳送正進行中.請稍後再試
useitemtownbackuse.13	目前其他的傳送正進行中.請稍後再試
useitemtownbackuse.14	只有新手才可使用
useitemtownbackuse.15	在這個地方無法使用.
useitemtownbackuse.invalid_region_group	無法移動到該當地區.
useitemunsealitem.1	請選擇要解除封印的道具.\n選擇道具之後過現實時間 72個小時會解除封印.
useitemunsealitemuse.1	解除封印道具成功.\n現實時間72個小時之後會解除封印道具.
useitemuntrainkituse.1	升段考試申請時無法使用.
useumbrella.1	裝備雨傘才能使用.
usewing.1	必須要套用翅膀之下才能使用.
usewing.2	搭乘木筏狀態之下無法進行使用.
usewing.3	搭乘熱氣球狀態之下無法進行使用.
visionofladecause.1	今天再也無法使用.
wandslashuse.1	現在不能使用技能.請在{0}秒後再試一次.
wandslashuse.2	需要魔杖
wandslashuse.3	需要魔杖
wandslashuse.4	需要集魔杖.
warpcontinentuse.1	經過12點就可以再次使用.
warpuse.1	現在無法移動. 請在{0}秒後再次進行.
warpuse.2	搭乘中是無法移動的.
waterballoonthrowinguse.1	不是在活動進行中無法使用.
waterballoonthrowinguse.2	不是在活動進行中無法使用.
waterballoonthrowinguse.3	水球不足.
waterballoonthrowinguse.4	對象距離太遠.
waterballoonthrowinguse.5	無法向目標丟水球.
watercannonuse.1	需要鋼瓶.
watercannonuse.2	水之結晶不足,無法使用技能.
watercannonuse.3	水之結晶不足,無法攻擊敵人.
waterdrop.1	已進入陷阱. 陷阱會在3秒後被發動.
wateringuse.1	您未持有農田因此無法使用.
wateringuse.2	在農田灑下種子才能開始作業.
wateringuse.3	若進行其他工作就無法進行作業.
wateringuse.4	今天無法再繼續作業.
wateringuse.5	目前無法進行作業.
wateringuse.6	可以在自己的農田上使用.
wateringuse.7	農田已灌溉水分.
weavinguse.1	{0} 專用生產品.
weavinguse2.1	{0} 專用生產品.
